id_linha,pedido,data_hora_venda,data,sku,pecas_vendidas,valor_da_peca,preco_tabela_unit,desconto_pct,receita_bruta,receita_liquida,custo_unitario,cmv,valor_do_frete,frete_cobrado_cliente,impostos_sobre_venda,lucro,total,canal,tipo_cliente,cliente_id,uf,regiao,modalidade_frete,peso_total_kg
20,PV-480003,2026-05-01 11:08:41,2026-05-01,RD-2001-02,1,66.64,71.1,0.0627,71.1,66.64,30.62,30.62,8.88,8.89,8.91,27.12,75.53,Representante,Marmoraria / Instalador,MAR-00239,SC,Sul,CIF (empresa entrega),1.1
21,PV-480003,2026-05-01 11:08:41,2026-05-01,PA-1010,4,57.1,61.88,0.0772,247.52,228.4,27.5,110.0,17.76,17.78,29.05,89.37,246.18,Representante,Marmoraria / Instalador,MAR-00239,SC,Sul,CIF (empresa entrega),2.2
22,PV-480024,2026-05-02 09:03:02,2026-05-02,PA-1002,7,49.48,63.6,0.2219,445.2,346.36,31.8,222.6,0.0,0.0,40.87,82.89,346.36,E-commerce,Revenda / Distribuidor,REV-00055,RJ,Sudeste,FOB (cliente retira/contrata),6.58
23,PV-480024,2026-05-02 09:03:02,2026-05-02,ND-3002,3,109.78,138.17,0.2054,414.51,329.34,67.4,202.2,0.0,0.0,38.86,88.28,329.34,E-commerce,Revenda / Distribuidor,REV-00055,RJ,Sudeste,FOB (cliente retira/contrata),3.84
24,PV-480024,2026-05-02 09:03:02,2026-05-02,PA-1020-02,1,85.7,107.64,0.2039,107.64,85.7,47.46,47.46,0.0,0.0,10.11,28.13,85.7,E-commerce,Revenda / Distribuidor,REV-00055,RJ,Sudeste,FOB (cliente retira/contrata),0.78
25,PV-480024,2026-05-02 09:03:02,2026-05-02,SP-6010-01,3,83.26,102.41,0.187,307.23,249.78,44.76,134.28,0.0,0.0,29.47,86.03,249.78,E-commerce,Revenda / Distribuidor,REV-00055,RJ,Sudeste,FOB (cliente retira/contrata),2.52
26,PV-480024,2026-05-02 09:03:02,2026-05-02,PA-1030-01,6,40.46,52.5,0.2293,315.0,242.76,21.95,131.7,0.0,0.0,28.65,82.41,242.76,E-commerce,Revenda / Distribuidor,REV-00055,RJ,Sudeste,FOB (cliente retira/contrata),2.88
27,PV-480049,2026-05-02 09:23:56,2026-05-02,AC-8030-01,1,46.27,47.55,0.0268,47.55,46.27,18.66,18.66,1.62,1.97,6.37,21.59,48.24,E-commerce,Consumidor Final,CON-00588,SP,Sudeste,CIF (empresa entrega),0.224
28,PV-480049,2026-05-02 09:23:56,2026-05-02,SP-6001,1,120.6,122.64,0.0167,122.64,120.6,58.4,58.4,9.74,11.85,17.48,46.83,132.45,E-commerce,Consumidor Final,CON-00588,SP,Sudeste,CIF (empresa entrega),1.35
29,PV-480049,2026-05-02 09:23:56,2026-05-02,PA-1030-02,1,56.69,59.39,0.0454,59.39,56.69,23.91,23.91,3.46,4.21,8.04,25.49,60.9,E-commerce,Consumidor Final,CON-00588,SP,Sudeste,CIF (empresa entrega),0.48
30,PV-480049,2026-05-02 09:23:56,2026-05-02,PA-1001,2,45.57,45.92,0.0076,91.84,91.14,22.4,44.8,8.94,10.88,13.47,34.81,102.02,E-commerce,Consumidor Final,CON-00588,SP,Sudeste,CIF (empresa entrega),1.24
31,PV-480049,2026-05-02 09:23:56,2026-05-02,RD-2001,2,51.19,52.24,0.0201,104.48,102.38,24.3,48.6,15.87,19.31,16.06,41.16,121.69,E-commerce,Consumidor Final,CON-00588,SP,Sudeste,CIF (empresa entrega),2.2
32,PV-480046,2026-05-02 09:43:56,2026-05-02,PA-1011,1,62.41,67.73,0.0785,67.73,62.41,30.1,30.1,4.38,4.48,7.89,24.52,66.89,Balcao,Marmoraria / Instalador,MAR-00123,PR,Sul,CIF (empresa entrega),0.61
33,PV-480046,2026-05-02 09:43:56,2026-05-02,PX-7001,1,153.94,162.67,0.0536,162.67,153.94,72.3,72.3,10.21,10.43,19.4,62.46,164.37,Balcao,Marmoraria / Instalador,MAR-00123,PR,Sul,CIF (empresa entrega),1.42
34,PV-480046,2026-05-02 09:43:56,2026-05-02,JD-4010,1,229.44,255.3,0.1013,255.3,229.44,138.0,138.0,17.25,17.64,29.16,62.67,247.08,Balcao,Marmoraria / Instalador,MAR-00123,PR,Sul,CIF (empresa entrega),2.4
35,PV-480046,2026-05-02 09:43:56,2026-05-02,AC-8030,4,48.12,53.16,0.0948,212.64,192.48,21.7,86.8,9.2,9.41,23.82,82.07,201.89,Balcao,Marmoraria / Instalador,MAR-00123,PR,Sul,CIF (empresa entrega),1.28
36,PV-480046,2026-05-02 09:43:56,2026-05-02,AC-8040,2,41.55,45.1,0.0787,90.2,83.1,16.4,32.8,9.34,9.55,10.93,39.58,92.65,Balcao,Marmoraria / Instalador,MAR-00123,PR,Sul,CIF (empresa entrega),1.3
37,PV-480046,2026-05-02 09:43:56,2026-05-02,PA-1002-02,1,73.57,83.81,0.1222,83.81,73.57,38.8,38.8,6.76,6.91,9.5,25.42,80.48,Balcao,Marmoraria / Instalador,MAR-00123,PR,Sul,CIF (empresa entrega),0.94
38,PV-480054,2026-05-02 09:57:21,2026-05-02,AC-8030,3,48.32,53.16,0.091,159.48,144.96,21.7,65.1,0.0,0.0,19.13,60.73,144.96,Representante,Marmoraria / Instalador,MAR-00113,SP,Sudeste,FOB (cliente retira/contrata),0.96
39,PV-480054,2026-05-02 09:57:21,2026-05-02,JD-4001,13,26.0,29.16,0.1085,379.08,338.0,11.9,154.7,0.0,0.0,44.62,138.68,338.0,Representante,Marmoraria / Instalador,MAR-00113,SP,Sudeste,FOB (cliente retira/contrata),3.64
40,PV-480016,2026-05-02 10:08:47,2026-05-02,JD-4002-01,1,97.86,114.83,0.1478,114.83,97.86,52.58,52.58,0.0,0.0,12.92,32.36,97.86,Representante,Construtora,CON-00081,SP,Sudeste,FOB (cliente retira/contrata),0.88
41,PV-480016,2026-05-02 10:08:47,2026-05-02,PA-1040-01,2,73.77,88.91,0.1703,177.82,147.54,38.86,77.72,0.0,0.0,19.48,50.34,147.54,Representante,Construtora,CON-00081,SP,Sudeste,FOB (cliente retira/contrata),1.32
42,PV-480016,2026-05-02 10:08:47,2026-05-02,PA-1010,24,49.17,61.88,0.2054,1485.12,1180.08,27.5,660.0,0.0,0.0,155.77,364.31,1180.08,Representante,Construtora,CON-00081,SP,Sudeste,FOB (cliente retira/contrata),13.2
43,PV-480016,2026-05-02 10:08:47,2026-05-02,RD-2011-01,4,164.54,203.33,0.1908,813.32,658.16,93.1,372.4,0.0,0.0,86.88,198.88,658.16,Representante,Construtora,CON-00081,SP,Sudeste,FOB (cliente retira/contrata),6.48
44,PV-480016,2026-05-02 10:08:47,2026-05-02,RD-2001,5,42.58,52.24,0.1849,261.2,212.9,24.3,121.5,0.0,0.0,28.1,63.3,212.9,Representante,Construtora,CON-00081,SP,Sudeste,FOB (cliente retira/contrata),5.5
45,PV-480016,2026-05-02 10:08:47,2026-05-02,AC-8040,3,36.47,45.1,0.1913,135.3,109.41,16.4,49.2,0.0,0.0,14.44,45.77,109.41,Representante,Construtora,CON-00081,SP,Sudeste,FOB (cliente retira/contrata),1.95
46,PV-480053,2026-05-02 10:10:54,2026-05-02,AC-8040,4,35.81,45.1,0.2061,180.4,143.24,16.4,65.6,6.68,0.0,16.9,54.06,143.24,Balcao,Revenda / Distribuidor,REV-00055,SC,Sul,CIF (empresa entrega),2.6
47,PV-480053,2026-05-02 10:10:54,2026-05-02,RG-5003,4,296.61,378.0,0.2153,1512.0,1186.44,189.0,756.0,31.86,0.0,140.0,258.58,1186.44,Balcao,Revenda / Distribuidor,REV-00055,SC,Sul,CIF (empresa entrega),12.4
48,PV-480053,2026-05-02 10:10:54,2026-05-02,AC-8002-01,2,115.43,139.52,0.1726,279.04,230.86,53.66,107.32,7.55,0.0,27.24,88.75,230.86,Balcao,Revenda / Distribuidor,REV-00055,SC,Sul,CIF (empresa entrega),2.94
49,PV-480053,2026-05-02 10:10:54,2026-05-02,PA-1011,10,53.37,67.73,0.212,677.3,533.7,30.1,301.0,15.67,0.0,62.98,154.05,533.7,Balcao,Revenda / Distribuidor,REV-00055,SC,Sul,CIF (empresa entrega),6.1
50,PV-480038,2026-05-02 10:12:07,2026-05-02,RG-5020-01,1,117.36,128.74,0.0884,128.74,117.36,53.82,53.82,15.44,16.98,17.73,47.35,134.34,Balcao,Marmoraria / Instalador,MAR-00255,SP,Sudeste,CIF (empresa entrega),0.72
51,PV-480038,2026-05-02 10:12:07,2026-05-02,ND-3002,1,127.34,138.17,0.0784,138.17,127.34,67.4,67.4,27.46,30.18,20.79,41.87,157.52,Balcao,Marmoraria / Instalador,MAR-00255,SP,Sudeste,CIF (empresa entrega),1.28
52,PV-480014,2026-05-02 10:13:01,2026-05-02,AC-8010,1,51.03,51.03,0.0,51.03,51.03,18.9,18.9,5.46,5.9,6.72,25.85,56.93,Representante,Consumidor Final,CON-00247,MG,Sudeste,CIF (empresa entrega),0.9
53,PV-480014,2026-05-02 10:13:01,2026-05-02,ND-3002,1,132.53,138.17,0.0408,138.17,132.53,67.4,67.4,7.77,8.4,16.63,49.13,140.93,Representante,Consumidor Final,CON-00247,MG,Sudeste,CIF (empresa entrega),1.28
54,PV-480014,2026-05-02 10:13:01,2026-05-02,RD-2011,1,161.09,165.69,0.0278,165.69,161.09,78.9,78.9,9.83,10.63,20.26,62.73,171.72,Representante,Consumidor Final,CON-00247,MG,Sudeste,CIF (empresa entrega),1.62
55,PV-480014,2026-05-02 10:13:01,2026-05-02,RD-2001,4,51.74,52.24,0.0096,208.96,206.96,24.3,97.2,26.71,28.87,27.83,84.09,235.83,Representante,Consumidor Final,CON-00247,MG,Sudeste,CIF (empresa entrega),4.4
56,PV-480045,2026-05-02 10:21:01,2026-05-02,PA-1002,1,63.6,63.6,0.0,63.6,63.6,31.8,31.8,40.5,42.64,14.02,19.92,106.24,E-commerce,Consumidor Final,CON-00516,SP,Sudeste,CIF (empresa entrega),0.94
57,PV-480035,2026-05-02 10:28:08,2026-05-02,RD-2001,16,40.28,52.24,0.229,835.84,644.48,24.3,388.8,26.2,0.0,76.05,153.43,644.48,Televendas,Revenda / Distribuidor,REV-00017,RJ,Sudeste,CIF (empresa entrega),17.6
58,PV-480035,2026-05-02 10:28:08,2026-05-02,AC-8010-01,5,35.46,45.63,0.223,228.15,177.3,16.25,81.25,4.69,0.0,20.92,70.44,177.3,Televendas,Revenda / Distribuidor,REV-00017,RJ,Sudeste,CIF (empresa entrega),3.15
59,PV-480035,2026-05-02 10:28:08,2026-05-02,RG-5003,2,305.18,378.0,0.1927,756.0,610.36,189.0,378.0,9.23,0.0,72.02,151.11,610.36,Televendas,Revenda / Distribuidor,REV-00017,RJ,Sudeste,CIF (empresa entrega),6.2
60,PV-480035,2026-05-02 10:28:08,2026-05-02,RD-2030-01,4,11.2,13.93,0.196,55.72,44.8,4.96,19.84,0.48,0.0,5.29,19.19,44.8,Televendas,Revenda / Distribuidor,REV-00017,RJ,Sudeste,CIF (empresa entrega),0.32
61,PV-480035,2026-05-02 10:28:08,2026-05-02,PA-1040,4,59.38,76.34,0.2222,305.36,237.52,34.7,138.8,3.93,0.0,28.03,66.76,237.52,Televendas,Revenda / Distribuidor,REV-00017,RJ,Sudeste,CIF (empresa entrega),2.64
62,PV-480035,2026-05-02 10:28:08,2026-05-02,PA-1030,9,35.5,45.08,0.2126,405.72,319.5,19.6,176.4,6.43,0.0,37.7,98.97,319.5,Televendas,Revenda / Distribuidor,REV-00017,RJ,Sudeste,CIF (empresa entrega),4.32
63,PV-480015,2026-05-02 10:42:38,2026-05-02,PA-1001,3,39.15,45.92,0.1475,137.76,117.45,22.4,67.2,0.0,0.0,13.86,36.39,117.45,Representante,Construtora,CON-00045,MG,Sudeste,FOB (cliente retira/contrata),1.86
64,PV-480015,2026-05-02 10:42:38,2026-05-02,RD-2011,11,139.5,165.69,0.1581,1822.59,1534.5,78.9,867.9,0.0,0.0,181.07,485.53,1534.5,Representante,Construtora,CON-00045,MG,Sudeste,FOB (cliente retira/contrata),17.82
65,PV-480015,2026-05-02 10:42:38,2026-05-02,PA-1011,10,56.26,67.73,0.1694,677.3,562.6,30.1,301.0,0.0,0.0,66.39,195.21,562.6,Representante,Construtora,CON-00045,MG,Sudeste,FOB (cliente retira/contrata),6.1
66,PV-480015,2026-05-02 10:42:38,2026-05-02,PX-7001,1,139.99,162.67,0.1394,162.67,139.99,72.3,72.3,0.0,0.0,16.52,51.17,139.99,Representante,Construtora,CON-00045,MG,Sudeste,FOB (cliente retira/contrata),1.42
67,PV-480015,2026-05-02 10:42:38,2026-05-02,AC-8020-01,1,73.31,87.56,0.1627,87.56,73.31,38.27,38.27,0.0,0.0,8.65,26.39,73.31,Representante,Construtora,CON-00045,MG,Sudeste,FOB (cliente retira/contrata),0.735
68,PV-480008,2026-05-02 11:02:21,2026-05-02,PA-1010-02,2,74.86,81.53,0.0818,163.06,149.72,33.55,67.1,0.0,0.0,19.76,62.86,149.72,Representante,Marmoraria / Instalador,MAR-00159,SP,Sudeste,FOB (cliente retira/contrata),1.1
69,PV-480012,2026-05-02 11:03:43,2026-05-02,RD-2001,5,45.01,52.24,0.1385,261.2,225.05,24.3,121.5,0.0,0.0,26.56,76.99,225.05,Representante,Construtora,CON-00023,RS,Sul,FOB (cliente retira/contrata),5.5
70,PV-480019,2026-05-02 11:15:57,2026-05-02,AC-8040,4,42.17,45.1,0.065,180.4,168.68,16.4,65.6,52.02,63.25,27.37,86.94,231.93,Televendas,Marmoraria / Instalador,MAR-00152,DF,Centro-Oeste,CIF (empresa entrega),2.6
71,PV-480019,2026-05-02 11:15:57,2026-05-02,RG-5020,1,97.42,107.64,0.0949,107.64,97.42,46.8,46.8,14.4,17.51,13.56,40.17,114.93,Televendas,Marmoraria / Instalador,MAR-00152,DF,Centro-Oeste,CIF (empresa entrega),0.72
72,PV-480019,2026-05-02 11:15:57,2026-05-02,RD-2020-01,2,37.44,41.76,0.1035,83.52,74.88,17.46,34.92,20.81,25.3,11.82,32.63,100.18,Televendas,Marmoraria / Instalador,MAR-00152,DF,Centro-Oeste,CIF (empresa entrega),1.04
73,PV-480037,2026-05-02 11:27:36,2026-05-02,AC-8002,2,144.18,156.0,0.0758,312.0,288.36,62.4,124.8,50.06,60.95,41.22,133.23,349.31,Representante,Consumidor Final,CON-00977,RJ,Sudeste,CIF (empresa entrega),4.2
74,PV-480037,2026-05-02 11:27:36,2026-05-02,AC-8040,1,43.65,45.1,0.0322,45.1,43.65,16.4,16.4,7.75,9.43,6.26,22.67,53.08,Representante,Consumidor Final,CON-00977,RJ,Sudeste,CIF (empresa entrega),0.65
75,PV-480039,2026-05-02 11:38:38,2026-05-02,RD-2011,1,133.48,165.69,0.1944,165.69,133.48,78.9,78.9,0.0,0.0,15.75,38.83,133.48,Representante,Revenda / Distribuidor,REV-00023,BA,Nordeste,FOB (cliente retira/contrata),1.62
76,PV-480039,2026-05-02 11:38:38,2026-05-02,AC-8002,20,121.67,156.0,0.22,3120.0,2433.4,62.4,1248.0,0.0,0.0,287.14,898.26,2433.4,Representante,Revenda / Distribuidor,REV-00023,BA,Nordeste,FOB (cliente retira/contrata),42.0
77,PV-480039,2026-05-02 11:38:38,2026-05-02,PA-1020-03,1,89.48,118.94,0.2477,118.94,89.48,50.57,50.57,0.0,0.0,10.56,28.35,89.48,Representante,Revenda / Distribuidor,REV-00023,BA,Nordeste,FOB (cliente retira/contrata),0.78
78,PV-480039,2026-05-02 11:38:38,2026-05-02,AC-8030-02,1,56.04,73.51,0.2377,73.51,56.04,27.78,27.78,0.0,0.0,6.61,21.65,56.04,Representante,Revenda / Distribuidor,REV-00023,BA,Nordeste,FOB (cliente retira/contrata),0.32
79,PV-480039,2026-05-02 11:38:38,2026-05-02,PM-9004,3,684.88,840.0,0.1847,2520.0,2054.64,420.0,1260.0,0.0,0.0,242.45,552.19,2054.64,Representante,Revenda / Distribuidor,REV-00023,BA,Nordeste,FOB (cliente retira/contrata),36.0
80,PV-480039,2026-05-02 11:38:38,2026-05-02,ND-3002,2,106.08,138.17,0.2322,276.34,212.16,67.4,134.8,0.0,0.0,25.03,52.33,212.16,Representante,Revenda / Distribuidor,REV-00023,BA,Nordeste,FOB (cliente retira/contrata),2.56
81,PV-480027,2026-05-02 11:50:23,2026-05-02,PA-1011,49,49.87,67.73,0.2637,3318.77,2443.63,30.1,1474.9,0.0,0.0,322.56,646.17,2443.63,Balcao,Revenda / Distribuidor,REV-00057,SP,Sudeste,FOB (cliente retira/contrata),29.89
82,PV-480027,2026-05-02 11:50:23,2026-05-02,PA-1020,67,56.34,81.69,0.3103,5473.23,3774.78,38.9,2606.3,0.0,0.0,498.27,670.21,3774.78,Balcao,Revenda / Distribuidor,REV-00057,SP,Sudeste,FOB (cliente retira/contrata),52.26
83,PV-480027,2026-05-02 11:50:23,2026-05-02,PA-1001,62,32.73,45.92,0.2872,2847.04,2029.26,22.4,1388.8,0.0,0.0,267.86,372.6,2029.26,Balcao,Revenda / Distribuidor,REV-00057,SP,Sudeste,FOB (cliente retira/contrata),38.44
84,PV-480027,2026-05-02 11:50:23,2026-05-02,RG-5020,93,76.31,107.64,0.2911,10010.52,7096.83,46.8,4352.4,0.0,0.0,936.78,1807.65,7096.83,Balcao,Revenda / Distribuidor,REV-00057,SP,Sudeste,FOB (cliente retira/contrata),66.96
85,PV-480027,2026-05-02 11:50:23,2026-05-02,PA-1020-02,30,80.7,107.64,0.2503,3229.2,2421.0,47.46,1423.8,0.0,0.0,319.57,677.63,2421.0,Balcao,Revenda / Distribuidor,REV-00057,SP,Sudeste,FOB (cliente retira/contrata),23.4
86,PV-480042,2026-05-02 11:52:24,2026-05-02,PA-1040,13,57.63,76.34,0.2451,992.42,749.19,34.7,451.1,0.0,0.0,88.4,209.69,749.19,Balcao,Revenda / Distribuidor,REV-00059,PR,Sul,FOB (cliente retira/contrata),8.58
87,PV-480042,2026-05-02 11:52:24,2026-05-02,RD-2010,1,102.88,128.12,0.197,128.12,102.88,62.5,62.5,0.0,0.0,12.14,28.24,102.88,Balcao,Revenda / Distribuidor,REV-00059,PR,Sul,FOB (cliente retira/contrata),1.24
88,PV-480047,2026-05-02 11:56:56,2026-05-02,RG-5003-01,3,367.6,452.09,0.1869,1356.27,1102.8,217.35,652.05,0.0,0.0,130.13,320.62,1102.8,Balcao,Revenda / Distribuidor,REV-00044,PR,Sul,FOB (cliente retira/contrata),9.3
89,PV-480047,2026-05-02 11:56:56,2026-05-02,PA-1011,7,53.73,67.73,0.2067,474.11,376.11,30.1,210.7,0.0,0.0,44.38,121.03,376.11,Balcao,Revenda / Distribuidor,REV-00044,PR,Sul,FOB (cliente retira/contrata),4.27
90,PV-480047,2026-05-02 11:56:56,2026-05-02,JD-4001-02,2,27.4,34.0,0.1942,68.0,54.8,12.85,25.7,0.0,0.0,6.47,22.63,54.8,Balcao,Revenda / Distribuidor,REV-00044,PR,Sul,FOB (cliente retira/contrata),0.56
91,PV-480047,2026-05-02 11:56:56,2026-05-02,PA-1002,12,49.2,63.6,0.2264,763.2,590.4,31.8,381.6,0.0,0.0,69.67,139.13,590.4,Balcao,Revenda / Distribuidor,REV-00044,PR,Sul,FOB (cliente retira/contrata),11.28
92,PV-480047,2026-05-02 11:56:56,2026-05-02,JD-4001,28,22.22,29.16,0.2379,816.48,622.16,11.9,333.2,0.0,0.0,73.41,215.55,622.16,Balcao,Revenda / Distribuidor,REV-00044,PR,Sul,FOB (cliente retira/contrata),7.84
93,PV-480030,2026-05-02 12:16:52,2026-05-02,PA-1002,1,62.71,63.6,0.0141,63.6,62.71,31.8,31.8,35.48,44.09,12.6,26.92,106.8,Representante,Consumidor Final,CON-00088,SC,Sul,CIF (empresa entrega),0.94
94,PV-480030,2026-05-02 12:16:52,2026-05-02,JD-4002,1,100.39,104.16,0.0362,104.16,100.39,49.6,49.6,33.21,41.28,16.72,42.14,141.67,Representante,Consumidor Final,CON-00088,SC,Sul,CIF (empresa entrega),0.88
95,PV-480044,2026-05-02 12:17:33,2026-05-02,PA-1040,7,60.5,76.34,0.2075,534.38,423.5,34.7,242.9,59.95,74.64,58.78,136.51,498.14,Representante,Revenda / Distribuidor,REV-00027,SC,Sul,CIF (empresa entrega),4.62
96,PV-480022,2026-05-02 12:23:47,2026-05-02,RG-5020,9,82.03,107.64,0.238,968.76,738.27,46.8,421.2,0.0,0.0,87.12,229.95,738.27,Balcao,Revenda / Distribuidor,REV-00045,RJ,Sudeste,FOB (cliente retira/contrata),6.48
97,PV-480022,2026-05-02 12:23:47,2026-05-02,AC-8020,10,76.53,97.9,0.2183,979.0,765.3,44.5,445.0,0.0,0.0,90.31,229.99,765.3,Balcao,Revenda / Distribuidor,REV-00045,RJ,Sudeste,FOB (cliente retira/contrata),10.5
98,PV-480011,2026-05-02 12:44:49,2026-05-02,AC-8040,12,35.66,45.1,0.2094,541.2,427.92,16.4,196.8,11.65,0.0,50.49,168.98,427.92,Representante,Construtora,CON-00001,MG,Sudeste,CIF (empresa entrega),7.8
99,PV-480011,2026-05-02 12:44:49,2026-05-02,RD-2001,13,41.25,52.24,0.2103,679.12,536.25,24.3,315.9,21.36,0.0,63.28,135.71,536.25,Representante,Construtora,CON-00001,MG,Sudeste,CIF (empresa entrega),14.3
100,PV-480011,2026-05-02 12:44:49,2026-05-02,RD-2011,3,136.58,165.69,0.1757,497.07,409.74,78.9,236.7,7.26,0.0,48.35,117.43,409.74,Representante,Construtora,CON-00001,MG,Sudeste,CIF (empresa entrega),4.86
101,PV-480011,2026-05-02 12:44:49,2026-05-02,PA-1040-01,3,73.75,88.91,0.1705,266.73,221.25,38.86,116.58,2.96,0.0,26.11,75.6,221.25,Representante,Construtora,CON-00001,MG,Sudeste,CIF (empresa entrega),1.98
102,PV-480011,2026-05-02 12:44:49,2026-05-02,RD-2002-01,3,71.26,86.6,0.1772,259.8,213.78,39.65,118.95,6.95,0.0,25.23,62.65,213.78,Representante,Construtora,CON-00001,MG,Sudeste,CIF (empresa entrega),4.65
103,PV-480011,2026-05-02 12:44:49,2026-05-02,PA-1001-02,3,50.49,60.51,0.1656,181.53,151.47,27.33,81.99,2.78,0.0,17.87,48.83,151.47,Representante,Construtora,CON-00001,MG,Sudeste,CIF (empresa entrega),1.86
104,PV-480011,2026-05-02 12:44:49,2026-05-02,PA-1002,3,52.23,63.6,0.1787,190.8,156.69,31.8,95.4,4.21,0.0,18.49,38.59,156.69,Representante,Construtora,CON-00001,MG,Sudeste,CIF (empresa entrega),2.82
